,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1,1,Laraine,Medendorp,F,93,1953-10-12 00:00:00,Executive Secretary,Health,Mass Customer,N,Yes,11.0
2,2,Eli,Bockman,Male,81,1980-12-16 00:00:00,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0
3,3,Arlin,Dearle,Male,61,1954-01-20 00:00:00,Recruiting Manager,Property,Mass Customer,N,Yes,15.0
4,4,Talbot,Dearle,Male,33,1961-10-03 00:00:00,Recruiting Manager,IT,Mass Customer,N,No,7.0
5,5,Sheila-kathryn,Calton,Female,56,1977-05-13 00:00:00,Senior Editor,IT,Affluent Customer,N,Yes,8.0
6,6,Curr,Duckhouse,Male,35,1966-09-16 00:00:00,Senior Editor,Retail,High Net Worth,N,Yes,13.0
7,7,Fina,Merali,Female,6,1976-02-23 00:00:00,Senior Editor,Financial Services,Affluent Customer,N,Yes,11.0
8,8,Rod,Inder,Male,31,1962-03-30 00:00:00,Media Manager I,Financial Services,Mass Customer,N,No,7.0
9,9,Mala,Lind,Female,97,1973-03-10 00:00:00,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0
10,10,Fiorenze,Birdall,Female,49,1988-10-11 00:00:00,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0
11,11,Uriah,Bisatt,Male,99,1954-04-30 00:00:00,Senior Quality Engineer,Property,Mass Customer,N,No,9.0
12,12,Sawyere,Flattman,Male,58,1994-07-21 00:00:00,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0
13,13,Gabriele,Norcross,Male,38,1955-02-15 00:00:00,Developer I,Financial Services,High Net Worth,N,Yes,8.0
14,14,Rayshell,Kitteman,Female,85,1983-03-25 00:00:00,Account Executive,Financial Services,Affluent Customer,N,No,6.0
15,15,Erroll,Radage,Male,91,2000-07-13 00:00:00,Junior Executive,Manufacturing,Mass Customer,N,No,1.0
16,16,Harlin,Parr,Male,38,1977-02-27 00:00:00,Media Manager IV,Manufacturing,Mass Customer,N,Yes,18.0
17,17,Heath,Faraday,Male,57,1962-03-19 00:00:00,Sales Associate,Manufacturing,Affluent Customer,N,Yes,15.0
18,18,Marjie,Neasham,Female,79,1967-07-06 00:00:00,Professor,Manufacturing,Affluent Customer,N,No,11.0
19,19,Sorcha,Keyson,Female,76,2001-04-15 00:00:00,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0
20,20,Basile,Firth,Male,72,1980-08-13 00:00:00,Project Manager,Manufacturing,Mass Customer,N,No,11.0
21,21,Mile,Cammocke,Male,74,1980-09-20 00:00:00,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0
22,22,Deeanne,Durtnell,Female,79,1962-12-10 00:00:00,Safety Technician I,IT,Mass Customer,N,No,11.0
23,23,Olav,Polak,Male,43,1995-02-10 00:00:00,Safety Technician I,IT,High Net Worth,N,Yes,1.0
24,24,Kim,Skpsey,Female,55,1977-12-03 00:00:00,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0
25,25,Geoff,Assaf,Male,72,1976-12-02 00:00:00,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0
26,26,Trixi,Ginnelly,Female,12,1978-06-10 00:00:00,Editor,Financial Services,Mass Customer,N,Yes,16.0
27,27,Garvin,Klees,Male,37,1978-09-25 00:00:00,Research Nurse,Health,Mass Customer,N,Yes,12.0
28,28,Fee,Zellmer,Male,5,1973-09-30 00:00:00,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0
29,29,Mona,Sancraft,Female,62,1968-06-22 00:00:00,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0
30,30,Darrick,Helleckas,Male,18,1961-10-18 00:00:00,Safety Technician III,IT,Affluent Customer,N,Yes,6.0
31,31,Star,Praton,Female,3,1962-11-24 00:00:00,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0
32,32,Marion,Vanichkin,Female,17,1995-04-20 00:00:00,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0
33,33,Ernst,Hacon,Male,44,1957-06-25 00:00:00,Product Engineer,Manufacturing,Affluent Customer,N,Yes,11.0
34,34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0
35,35,Margaretha,Strettle,Female,40,1963-09-28 00:00:00,Information Systems Manager,Health,High Net Worth,N,Yes,16.0
36,36,Lurette,Stonnell,Female,33,1977-11-09 00:00:00,VP Quality Control,Health,Affluent Customer,N,No,22.0
37,37,Laurie,Dwerryhouse,Female,46,1985-12-22 00:00:00,Social Worker,Health,High Net Worth,N,No,16.0
